,Survived,Pclass,Sex,Embarked,Title,AgeC,FamilySize,Alone,NameLength,FareC,Position,Pair
0,0,3,0,0,0,1.0,1,0,23,0.0,U,0
1,1,1,1,1,2,2.0,1,0,51,3.0,3,1
2,1,3,1,0,1,1.0,0,1,22,1.0,U,0
3,1,1,1,0,2,2.0,1,0,44,3.0,3,1
4,0,3,0,0,0,2.0,0,1,24,1.0,U,0
5,0,3,0,2,0,1.0,0,1,16,1.0,U,0
6,0,1,0,0,0,3.0,0,1,23,3.0,5,0
7,0,3,0,0,3,0.0,4,0,30,2.0,U,0
8,1,3,1,0,2,1.0,2,0,49,1.0,U,0
9,1,2,1,1,2,0.0,1,0,35,2.0,U,0
10,1,3,1,0,1,0.0,2,0,31,2.0,7,0
11,1,1,1,0,1,3.0,0,1,24,2.0,3,1
12,0,3,0,0,0,1.0,0,1,30,1.0,U,0
13,0,3,0,0,0,2.0,6,0,27,3.0,U,0
14,0,3,1,0,1,0.0,0,1,36,0.0,U,0
15,1,2,1,0,2,3.0,0,1,32,2.0,U,0
16,0,3,0,2,3,0.0,5,0,20,2.0,U,0
17,1,2,0,0,0,1.0,0,1,28,1.0,U,0
18,0,3,1,0,2,1.0,1,0,55,2.0,U,0
19,1,3,1,1,2,1.0,0,1,23,0.0,U,0
20,0,2,0,0,0,2.0,0,1,20,2.0,U,0
21,1,2,0,0,0,1.0,0,1,21,1.0,4,0
22,1,3,1,2,1,1.0,0,1,27,1.0,U,0
23,1,1,0,0,0,1.0,0,1,28,3.0,1,0
24,0,3,1,0,1,0.0,4,0,29,2.0,U,0
25,1,3,1,0,2,2.0,6,0,57,3.0,U,0
26,0,3,0,1,0,1.0,0,1,23,0.0,U,0
27,0,1,0,0,0,1.0,5,0,30,3.0,3,1
28,1,3,1,2,1,1.0,0,1,29,0.0,U,0
29,0,3,0,0,0,1.0,0,1,19,0.0,U,0
30,0,1,0,1,4,2.0,0,1,24,2.0,U,0
31,1,1,1,1,2,1.0,1,0,46,3.0,2,0
32,1,3,1,2,1,1.0,0,1,24,0.0,U,0
33,0,2,0,0,0,3.0,0,1,21,1.0,U,0
34,0,1,0,1,0,1.0,1,0,23,3.0,U,0
35,0,1,0,0,0,2.0,1,0,30,3.0,U,0
36,1,3,0,1,0,1.0,0,1,16,0.0,U,0
37,0,3,0,0,0,1.0,0,1,24,1.0,U,0
38,0,3,1,0,1,1.0,2,0,34,2.0,U,0
39,1,3,1,1,1,0.0,1,0,27,1.0,U,0
40,0,3,1,0,2,2.0,1,0,46,1.0,U,0
41,0,2,1,0,2,1.0,1,0,56,2.0,U,0
42,0,3,0,1,0,1.0,0,1,19,0.0,U,0
43,1,2,1,1,1,0.0,3,0,40,3.0,U,0
44,1,3,1,2,1,1.0,0,1,29,0.0,U,0
45,0,3,0,0,0,1.0,0,1,24,1.0,U,0
46,0,3,0,2,0,1.0,1,0,17,2.0,U,0
47,1,3,1,2,1,1.0,0,1,25,0.0,U,0
48,0,3,0,1,0,1.0,2,0,19,2.0,U,0
49,0,3,1,0,2,1.0,1,0,45,2.0,U,0
50,0,3,0,0,3,0.0,5,0,26,3.0,U,0
51,0,3,0,0,0,1.0,0,1,28,0.0,U,0
52,1,1,1,1,2,2.0,1,0,40,3.0,4,1
53,1,2,1,0,2,1.0,1,0,50,2.0,U,0
54,0,1,0,1,0,3.0,1,0,30,3.0,2,0
55,1,1,0,0,0,2.0,0,1,17,3.0,3,0
56,1,2,1,0,1,1.0,0,1,17,1.0,U,0
57,0,3,0,1,0,1.0,0,1,19,0.0,U,0
58,1,2,1,0,1,0.0,3,0,28,2.0,U,0
59,0,3,0,0,3,0.0,7,0,34,3.0,U,0
60,0,3,0,1,0,1.0,0,1,21,0.0,U,0
61,1,1,1,0,1,2.0,0,1,19,3.0,2,0
62,0,1,0,0,0,2.0,1,0,27,3.0,3,1
63,0,3,0,0,3,0.0,5,0,21,2.0,U,0
64,0,1,0,1,0,2.0,0,1,21,2.0,U,0
65,1,3,0,1,3,0.0,2,0,24,2.0,U,0
66,1,2,1,0,2,1.0,0,1,28,1.0,6,1
67,0,3,0,0,0,1.0,0,1,24,1.0,U,0
68,1,3,1,0,1,1.0,6,0,31,1.0,U,0
69,0,3,0,0,0,1.0,2,0,17,1.0,U,0
70,0,2,0,0,0,1.0,0,1,26,1.0,U,0
71,0,3,1,0,1,1.0,7,0,26,3.0,U,0
72,0,2,0,0,0,1.0,0,1,20,3.0,U,0
73,0,3,0,1,0,1.0,1,0,27,1.0,U,0
74,1,3,0,0,0,1.0,0,1,13,3.0,U,0
75,0,3,0,0,0,1.0,0,1,23,0.0,6,1
76,0,3,0,0,0,1.0,0,1,17,0.0,U,0
77,0,3,0,0,0,1.0,0,1,24,1.0,U,0
78,1,2,0,0,3,0.0,2,0,29,2.0,U,0
79,1,3,1,0,1,1.0,0,1,24,1.0,U,0
80,0,3,0,0,0,1.0,0,1,20,1.0,U,0
81,1,3,0,0,0,1.0,0,1,27,1.0,U,0
82,1,3,1,2,1,1.0,0,1,30,0.0,U,0
83,0,1,0,0,0,1.0,0,1,23,3.0,U,0
84,1,2,1,0,1,1.0,0,1,19,1.0,U,0
