,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,AgeC,FamilySize,Alone,NameLength,FareC,NoCabin,Position,Pair
0,0,3,0,-0.5594724990738589,1,0,-0.5024451714361923,0,0,1.0,1,0,-0.427451270148532,0.0,True,0,2
1,1,1,1,0.6096611484699479,1,0,0.7868452935884461,1,2,2.0,1,0,2.590962057806627,3.0,False,3,1
2,1,3,1,-0.26718908718790724,0,0,-0.4888542575852486,0,1,1.0,0,1,-0.5352517461469306,1.0,True,0,2
3,1,1,1,0.39044858955548406,1,0,0.4207302360686478,0,2,2.0,1,0,1.8363587258178373,3.0,False,3,1
4,0,3,0,0.39044858955548406,0,0,-0.4863374216869257,0,0,2.0,0,1,-0.3196507941501335,1.0,True,0,2
5,0,3,0,-0.41438723187861115,0,0,-0.47811642890864375,2,0,1.0,0,1,-1.1820546021373217,1.0,True,0,2
6,0,1,0,1.7787947960137545,0,0,0.395813560675251,0,0,3.0,0,1,-0.427451270148532,3.0,False,5,0
7,0,3,0,-2.020889558503617,3,1,-0.22408312108167944,0,3,0.0,4,0,0.32715206184025775,2.0,True,0,2
8,1,3,1,-0.1941182342164193,0,2,-0.4242561406845337,0,2,1.0,2,0,2.37536110580983,1.0,True,0,2
9,1,2,1,-1.1440393228457624,1,0,-0.04295550208861427,1,2,0.0,1,0,0.8661544418322504,2.0,True,0,2
10,1,3,1,-1.8747478525606416,1,1,-0.312172377522981,0,1,0.0,2,0,0.4349525378386563,2.0,False,7,0
11,1,1,1,2.0710782078997063,0,0,-0.11384570873513637,0,1,3.0,0,1,-0.3196507941501335,2.0,False,3,1
12,0,3,0,-0.7056142050168347,0,0,-0.4863374216869257,0,0,1.0,0,1,0.32715206184025775,1.0,True,0,2
13,0,3,0,0.6827320014414358,1,5,-0.018709311778530763,0,0,2.0,6,0,0.0037506338450621194,3.0,True,0,2
14,0,3,1,-1.1440393228457624,0,0,-0.4902797934380587,0,1,0.0,0,1,0.9739549178306489,0.0,True,0,2
15,1,2,1,1.8518656489852423,0,0,-0.3262666585535892,0,2,3.0,0,1,0.5427530138370548,2.0,True,0,2
16,0,3,0,-2.020889558503617,4,1,-0.061998889229684634,2,3,0.0,5,0,-0.7508526981437277,2.0,True,0,2
17,1,2,0,0.13973979035346068,0,0,-0.3866707201133388,0,0,1.0,0,1,0.11155110984346066,1.0,True,0,2
18,0,3,1,0.09816517766953237,1,0,-0.2859972841804228,0,2,1.0,1,0,3.022163961800221,2.0,True,0,2
19,1,3,1,0.2298315592374049,0,0,-0.5029485386158568,1,2,1.0,0,1,-0.427451270148532,0.0,True,0,2
20,0,2,0,0.39044858955548406,0,0,-0.12491978668775715,0,0,2.0,0,1,-0.7508526981437277,2.0,True,0,2
21,1,2,0,0.3173777365839961,0,0,-0.3866707201133388,0,0,1.0,0,1,-0.6430522221453292,1.0,False,4,0
22,1,3,1,-1.0709684698742745,0,0,-0.4867562231804066,2,1,1.0,0,1,0.0037506338450621194,1.0,True,0,2
23,1,1,0,-0.12104738124493139,0,0,0.06635974158478332,0,0,1.0,0,1,0.11155110984346066,3.0,False,1,0
24,0,3,1,-1.58246444067469,3,1,-0.22408312108167944,0,1,0.0,4,0,0.2193515858418592,2.0,True,0,2
25,1,3,1,0.6096611484699479,1,5,-0.01644415947004014,0,2,2.0,6,0,3.2377649137970184,3.0,True,0,2
26,0,3,0,0.2074185080362966,0,0,-0.5029485386158568,1,0,1.0,0,1,-0.427451270148532,0.0,True,0,2
27,0,1,0,-0.7786850579883227,3,2,4.647001076532463,0,0,1.0,5,0,0.32715206184025775,3.0,False,3,1
28,1,3,1,-0.6024378996537618,0,0,-0.48977642625839407,2,1,1.0,0,1,0.2193515858418592,0.0,True,0,2
29,0,3,0,-0.12463663341656385,0,0,-0.4894421904510968,0,0,1.0,0,1,-0.8586531741421263,0.0,True,0,2
30,0,1,0,0.7558028544129237,0,0,-0.09027201697708476,1,4,2.0,0,1,-0.3196507941501335,2.0,True,0,2
31,1,1,1,-0.08510017512560823,1,0,2.301728820789,1,2,1.0,1,0,2.0519596778146343,3.0,False,2,0
32,1,3,1,-0.2550892970945485,0,0,-0.49237782784290063,2,1,1.0,0,1,-0.3196507941501335,0.0,True,0,2
33,0,2,0,2.6556450316716096,0,0,-0.43700743807979686,0,0,3.0,0,1,-0.6430522221453292,1.0,True,0,2
34,0,1,0,-0.12104738124493139,1,0,1.0060617003323709,1,0,1.0,1,0,-0.427451270148532,3.0,True,0,2
35,0,1,0,0.9019445603558995,1,0,0.39858208016340624,0,0,2.0,1,0,0.32715206184025775,3.0,True,0,2
36,1,3,0,-0.34841372605725074,0,0,-0.5028639729296732,1,0,1.0,0,1,-1.1820546021373217,0.0,True,0,2
37,0,3,0,-0.6325433520453468,0,0,-0.4863374216869257,0,0,1.0,0,1,-0.3196507941501335,1.0,True,0,2
38,0,3,1,-0.8517559109598105,2,0,-0.2859972841804228,0,1,1.0,2,0,0.7583539658338518,2.0,True,0,2
39,1,3,1,-1.1440393228457624,1,0,-0.42207354059350805,1,1,0.0,1,0,0.0037506338450621194,1.0,True,0,2
40,0,3,1,0.7558028544129237,1,0,-0.4576454924460446,0,2,2.0,1,0,2.0519596778146343,1.0,True,0,2
41,0,2,1,-0.1941182342164193,1,0,-0.22559322262067316,0,2,1.0,1,0,3.1299644377986198,2.0,True,0,2
42,0,3,0,-0.12463663341656385,0,0,-0.4894421904510968,1,0,1.0,0,1,-0.8586531741421263,0.0,True,0,2
43,1,2,1,-1.9478187055321294,1,2,0.18876253192945994,1,1,0.0,3,0,1.4051568218242432,3.0,True,0,2
44,1,3,1,-0.7786850579883227,0,0,-0.48977642625839407,2,1,1.0,0,1,0.2193515858418592,0.0,True,0,2
45,0,3,0,0.0805800027243082,0,0,-0.4863374216869257,0,0,1.0,0,1,-0.3196507941501335,1.0,True,0,2
46,0,3,0,0.306328031788937,1,0,-0.3363340021468808,2,0,1.0,1,0,-1.0742541261389231,2.0,True,0,2
47,1,3,1,-0.2550892970945485,0,0,-0.49237782784290063,2,1,1.0,0,1,-0.21185031815173497,0.0,True,0,2
48,0,3,0,-0.3222716069436577,2,0,-0.21191774308354583,1,0,1.0,2,0,-0.8586531741421263,2.0,True,0,2
49,0,3,1,-0.8517559109598105,1,0,-0.29002422161773944,0,2,1.0,1,0,1.944159201816236,2.0,True,0,2
50,0,3,0,-1.6555352936461778,4,1,0.1506737441786005,0,3,0.0,5,0,-0.10404984215333643,3.0,True,0,2
51,0,3,0,-0.6325433520453468,0,0,-0.4913710934835715,0,0,1.0,0,1,0.11155110984346066,0.0,True,0,2
52,1,1,1,1.413440531156315,1,0,0.8964967865378598,1,2,2.0,1,0,1.4051568218242432,3.0,False,4,1
53,1,2,1,-0.04797652827344347,1,0,-0.12491978668775715,0,2,1.0,1,0,2.483161581808228,2.0,True,0,2
54,0,1,0,2.5825741787001215,0,1,0.5995101505357573,1,0,3.0,1,0,0.32715206184025775,3.0,False,2,0
55,1,1,0,0.7780291811155277,0,0,0.06635974158478332,0,0,2.0,0,1,-1.0742541261389231,3.0,False,3,0
56,1,2,1,-0.6325433520453468,0,0,-0.43700743807979686,0,1,1.0,0,1,-1.0742541261389231,1.0,True,0,2
57,0,3,0,-0.08451195475918744,0,0,-0.5028639729296732,1,0,1.0,0,1,-0.8586531741421263,0.0,True,0,2
58,1,2,1,-1.8016769995891537,1,2,-0.08968408411123653,0,1,0.0,3,0,0.11155110984346066,2.0,True,0,2
59,0,3,0,-1.3632518817602262,5,2,0.2958951755118318,0,3,0.0,7,0,0.7583539658338518,3.0,True,0,2
60,0,3,0,-0.5594724990738589,0,0,-0.5028639729296732,1,0,1.0,0,1,-0.6430522221453292,0.0,True,0,2
61,1,1,1,0.6096611484699479,0,0,0.962353321387736,0,1,2.0,0,1,-0.8586531741421263,3.0,False,2,0
62,0,1,0,1.121157119270363,1,0,1.0323213593611125,0,0,2.0,1,0,0.0037506338450621194,3.0,False,3,1
63,0,3,0,-1.8747478525606416,3,2,-0.08666388103324908,0,3,0.0,5,0,-0.6430522221453292,2.0,True,0,2
64,0,1,0,0.5036439581037284,0,0,-0.09027201697708476,1,0,2.0,0,1,-0.6430522221453292,2.0,True,0,2
65,1,3,0,-1.7665091689274062,1,1,-0.3414522396297103,1,3,0.0,2,0,-0.3196507941501335,2.0,True,0,2
66,1,2,1,-0.04797652827344347,0,0,-0.43700743807979686,0,2,1.0,0,1,0.11155110984346066,1.0,False,6,1
67,0,3,0,-0.7786850579883227,0,0,-0.4841568350646187,0,0,1.0,0,1,-0.3196507941501335,1.0,True,0,2
68,1,3,1,-0.9248267639312985,4,2,-0.4888542575852486,0,1,1.0,6,0,0.4349525378386563,1.0,True,0,2
69,0,3,0,-0.26718908718790724,2,0,-0.47400492578514347,0,0,1.0,2,0,-1.0742541261389231,1.0,True,0,2
70,0,2,0,0.1712360306410203,0,0,-0.43700743807979686,0,0,1.0,0,1,-0.10404984215333643,1.0,True,0,2
71,0,3,1,-0.9978976169027864,5,2,0.2958951755118318,0,1,1.0,7,0,-0.10404984215333643,3.0,True,0,2
72,0,2,0,-0.6325433520453468,0,0,0.8314778546749452,0,0,1.0,0,1,-0.7508526981437277,3.0,True,0,2
73,0,3,0,-0.26718908718790724,1,0,-0.3573908580066095,1,0,1.0,1,0,0.0037506338450621194,1.0,True,0,2
74,1,3,0,0.1712360306410203,0,0,0.48910360681684706,0,0,1.0,0,1,-1.5054560301325173,3.0,True,0,2
75,0,3,0,-0.34025994015939515,0,0,-0.494391296561559,0,0,1.0,0,1,-0.427451270148532,0.0,False,6,1
76,0,3,0,-0.12463663341656385,0,0,-0.4894421904510968,0,0,1.0,0,1,-1.0742541261389231,0.0,True,0,2
77,0,3,0,0.0805800027243082,0,0,-0.4863374216869257,0,0,1.0,0,1,-0.3196507941501335,1.0,True,0,2
78,1,2,0,-2.106382456480258,0,2,-0.06451572512800753,0,3,0.0,2,0,0.2193515858418592,2.0,True,0,2
79,1,3,1,0.025094324698044453,0,0,-0.397241430886295,0,1,1.0,0,1,-0.3196507941501335,1.0,True,0,2
80,0,3,0,-0.5594724990738589,0,0,-0.46720946885967163,0,0,1.0,0,1,-0.7508526981437277,1.0,True,0,2
81,1,3,0,-0.04797652827344347,0,0,-0.45714212526638004,0,0,1.0,0,1,0.0037506338450621194,1.0,True,0,2
82,1,3,1,-0.5688840183465015,0,0,-0.49162277707340374,2,1,1.0,0,1,0.32715206184025775,0.0,True,0,2
83,0,1,0,-0.12104738124493139,0,0,0.29992211294914856,0,0,1.0,0,1,-0.427451270148532,3.0,True,0,2
84,1,2,1,-0.9248267639312985,0,0,-0.43700743807979686,0,1,1.0,0,1,-0.8586531741421263,1.0,True,0,2
85,1,3,1,0.24430688361250824,3,0,-0.32928686163157667,0,2,1.0,3,0,3.022163961800221,2.0,True,0,2
86,0,3,0,-0.9978976169027864,1,3,0.0437082184998772,0,0,1.0,4,0,-0.5352517461469306,3.0,True,0,2
87,0,3,0,0.0805800027243082,0,0,-0.4863374216869257,0,0,1.0,0,1,0.2193515858418592,1.0,True,0,2
88,1,1,1,-0.486401646102371,3,2,4.647001076532463,0,1,1.0,5,0,-0.10404984215333643,3.0,False,3,1
89,0,3,0,-0.4133307931308831,0,0,-0.4863374216869257,0,0,1.0,0,1,-0.5352517461469306,1.0,True,0,2
90,0,3,0,-0.04797652827344347,0,0,-0.4863374216869257,0,0,1.0,0,1,-0.7508526981437277,1.0,True,0,2
91,0,3,0,-0.7056142050168347,0,0,-0.4902797934380587,0,0,1.0,0,1,-0.10404984215333643,0.0,True,0,2
92,0,1,0,1.1942279722418512,1,0,0.5833178351003071,0,0,2.0,1,0,0.0037506338450621194,3.0,False,5,1
93,0,3,0,-0.26718908718790724,1,2,-0.23415046467497105,0,0,1.0,3,0,-0.427451270148532,2.0,True,0,2
94,0,3,0,2.1441490608711944,0,0,-0.5024451714361923,0,0,3.0,0,1,-1.0742541261389231,0.0,True,0,2
95,0,3,0,0.0805800027243082,0,0,-0.4863374216869257,0,0,1.0,0,1,0.0037506338450621194,1.0,True,0,2
96,0,1,0,3.020999296529049,0,0,0.04932982316237129,1,0,3.0,0,1,-0.21185031815173497,3.0,False,1,1
97,1,1,0,-0.486401646102371,0,1,0.6272778976347743,1,0,1.0,1,0,0.4349525378386563,3.0,False,4,0
98,1,2,1,0.3173777365839961,0,1,-0.18532384824750675,0,2,1.0,1,0,0.9739549178306489,2.0,True,0,2
99,0,2,0,0.3173777365839961,1,0,-0.12491978668775715,0,0,1.0,1,0,-1.0742541261389231,2.0,True,0,2
100,0,3,1,-0.12104738124493139,0,0,-0.4894421904510968,0,1,1.0,0,1,-0.427451270148532,0.0,True,0,2
101,0,3,0,-0.12463663341656385,0,0,-0.4894421904510968,0,0,1.0,0,1,0.5427530138370548,0.0,True,0,2
102,0,1,0,-0.6325433520453468,0,1,0.907737982394129,0,0,1.0,1,0,-0.21185031815173497,3.0,False,4,0
103,0,3,0,0.24430688361250824,0,0,-0.4741720436887921,0,0,1.0,0,1,-0.10404984215333643,1.0,True,0,2
104,0,3,0,0.5365902954984599,2,0,-0.4888542575852486,0,0,2.0,2,0,0.32715206184025775,1.0,True,0,2
105,0,3,0,-0.12104738124493139,0,0,-0.4894421904510968,0,0,1.0,0,1,-0.6430522221453292,0.0,True,0,2
106,1,3,1,-0.6325433520453468,0,0,-0.494391296561559,0,1,1.0,0,1,0.5427530138370548,0.0,True,0,2
107,1,3,0,0.012542740982157137,0,0,-0.4918744606632361,0,0,1.0,0,1,-0.5352517461469306,0.0,True,0,2
108,0,3,0,0.6096611484699479,0,0,-0.4894421904510968,0,0,2.0,0,1,-1.2898550781357203,0.0,True,0,2
109,1,3,1,-0.2609276215452715,1,0,-0.1621689579829361,2,1,1.0,1,0,-0.8586531741421263,2.0,True,0,2
110,0,1,0,1.267298825213339,0,0,0.39858208016340624,0,0,2.0,0,1,0.32715206184025775,3.0,False,3,0
111,0,3,1,-1.1075038963600183,1,0,-0.3573908580066095,1,1,1.0,1,0,-0.7508526981437277,1.0,True,0,2
112,0,3,0,-0.5594724990738589,0,0,-0.4863374216869257,0,0,1.0,0,1,-0.5352517461469306,1.0,True,0,2
113,0,3,1,-0.7056142050168347,1,0,-0.4505983519307405,0,1,1.0,1,0,-0.427451270148532,1.0,True,0,2
114,0,3,1,-0.9248267639312985,0,0,-0.3573083057891445,1,1,1.0,0,1,-0.6430522221453292,1.0,True,0,2
115,0,3,0,-0.6325433520453468,0,0,-0.4888542575852486,0,0,1.0,0,1,-0.6430522221453292,1.0,True,0,2
116,0,3,0,2.9844638700433053,0,0,-0.49237782784290063,2,0,3.0,0,1,-0.7508526981437277,0.0,True,0,2
117,0,2,0,-0.04797652827344347,1,0,-0.22559322262067316,0,0,1.0,1,0,0.4349525378386563,2.0,True,0,2
118,0,1,0,-0.4133307931308831,0,1,4.335332226633905,1,0,1.0,1,0,-0.3196507941501335,3.0,False,2,0
119,0,3,1,-2.020889558503617,4,2,-0.018709311778530763,0,1,0.0,6,0,0.6505534898354534,3.0,True,0,2
120,0,2,0,-0.6325433520453468,2,0,0.8314778546749452,0,0,1.0,2,0,0.0037506338450621194,3.0,True,0,2
121,0,3,0,0.0805800027243082,0,0,-0.4863374216869257,0,0,1.0,0,1,-0.10404984215333643,1.0,True,0,2
122,0,2,0,0.20777145712676426,1,0,-0.04295550208861427,1,0,1.0,1,0,-0.7508526981437277,2.0,True,0,2
123,1,2,1,0.20777145712676426,0,0,-0.3866707201133388,0,1,1.0,0,1,-0.8586531741421263,1.0,False,5,1
124,0,1,0,1.7787947960137545,0,1,0.907737982394129,0,0,3.0,1,0,0.0037506338450621194,3.0,False,4,0
125,1,3,0,-1.2901810287887383,1,0,-0.42207354059350805,1,3,0.0,1,0,0.11155110984346066,1.0,True,0,2
126,0,3,0,0.9211687442324055,0,0,-0.49237782784290063,2,0,2.0,0,1,-0.8586531741421263,0.0,True,0,2
127,1,3,0,-0.4133307931308831,0,0,-0.5046257580584992,0,0,1.0,0,1,-0.21185031815173497,0.0,True,0,2
128,1,3,1,-1.7716357451612506,1,1,-0.19824427701513722,1,1,0.0,2,0,-1.0742541261389231,2.0,False,6,1
129,0,3,0,1.121157119270363,0,0,-0.5079822104125026,0,0,2.0,0,1,-0.9664536501405248,0.0,True,0,2
130,0,3,0,0.24430688361250824,0,0,-0.4894421904510968,1,0,1.0,0,1,-0.7508526981437277,0.0,True,0,2
131,0,3,0,-0.7056142050168347,0,0,-0.5064721088735089,0,0,1.0,0,1,0.32715206184025775,0.0,True,0,2
132,0,3,1,1.267298825213339,1,0,-0.35646868933346404,0,2,2.0,1,0,2.0519596778146343,1.0,True,0,2
133,1,2,1,-0.04797652827344347,1,0,-0.12491978668775715,0,2,1.0,1,0,1.944159201816236,2.0,True,0,2
134,0,2,0,-0.34025994015939515,0,0,-0.3866707201133388,0,0,1.0,0,1,0.32715206184025775,1.0,True,0,2
135,0,2,0,-0.486401646102371,0,0,-0.3454791770670269,1,0,1.0,0,1,-0.9664536501405248,2.0,True,0,2
136,1,1,1,-0.7786850579883227,0,2,-0.11921562980779811,0,1,1.0,2,0,0.11155110984346066,2.0,False,4,1
137,0,1,0,0.5365902954984599,1,0,0.4207302360686478,0,0,2.0,1,0,0.0037506338450621194,3.0,False,3,1
138,0,3,0,-0.9978976169027864,0,0,-0.4628462821463391,0,0,1.0,0,1,-0.8586531741421263,1.0,True,0,2
139,0,1,0,-0.4133307931308831,0,0,0.9462455716384695,1,0,1.0,0,1,-0.9664536501405248,3.0,False,2,0
